identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:4004:LOC;COLUCHE;L1;CTRE COMMERCIAL;2021-03-05T23:45:44+01:00;2021-03-05T23:35:14+01:00;TRANSPOLE:ItemId::440626:LOC;CTRE COMMERCIAL/COLUCHE/2021-03-05T23:45:44.000+01:00
TRANSPOLE:StopPointRef:BP:4004:LOC;COLUCHE;L1;CTRE COMMERCIAL;2021-03-06T00:16:40+01:00;2021-03-06T00:06:14+01:00;TRANSPOLE:ItemId::441326:LOC;CTRE COMMERCIAL/COLUCHE/2021-03-06T00:16:40.000+01:00
TRANSPOLE:StopPointRef:BP:4509:LOC;COMTESSE SEGUR;L1;CTRE COMMERCIAL;2021-03-05T23:21:21+01:00;2021-03-05T23:16:44+01:00;TRANSPOLE:ItemId::435622:LOC;CTRE COMMERCIAL/COMTESSE SEGUR/2021-03-05T23:21:21.000+01:00
TRANSPOLE:StopPointRef:BP:4509:LOC;COMTESSE SEGUR;L1;CTRE COMMERCIAL;2021-03-05T23:44:25+01:00;2021-03-05T23:37:44+01:00;TRANSPOLE:ItemId::440625:LOC;CTRE COMMERCIAL/COMTESSE SEGUR/2021-03-05T23:44:25.000+01:00
TRANSPOLE:StopPointRef:BP:4509:LOC;COMTESSE SEGUR;L1;CTRE COMMERCIAL;2021-03-06T00:15:33+01:00;2021-03-06T00:06:14+01:00;TRANSPOLE:ItemId::441325:LOC;CTRE COMMERCIAL/COMTESSE SEGUR/2021-03-06T00:15:33.000+01:00
TRANSPOLE:StopPointRef:BP:5634:LOC;COND. PUBLIQUE;L4;CTRE COMMERCIAL;2021-03-05T23:14:26+01:00;2021-03-05T23:03:59+01:00;TRANSPOLE:ItemId::454463:LOC;CTRE COMMERCIAL/COND. PUBLIQUE/2021-03-05T23:14:26.000+01:00
TRANSPOLE:StopPointRef:BP:5572:LOC;COUBERTIN;L4;CTRE COMMERCIAL;2021-03-05T23:23:41+01:00;2021-03-05T23:16:44+01:00;TRANSPOLE:ItemId::454469:LOC;CTRE COMMERCIAL/COUBERTIN/2021-03-05T23:23:41.000+01:00
TRANSPOLE:StopPointRef:BP:4253:LOC;DESTOOP;L1;CTRE COMMERCIAL;2021-03-05T23:19:24+01:00;2021-03-05T23:15:30+01:00;TRANSPOLE:ItemId::435619:LOC;CTRE COMMERCIAL/DESTOOP/2021-03-05T23:19:24.000+01:00
TRANSPOLE:StopPointRef:BP:4253:LOC;DESTOOP;L1;CTRE COMMERCIAL;2021-03-05T23:41:38+01:00;2021-03-05T23:34:29+01:00;TRANSPOLE:ItemId::440622:LOC;CTRE COMMERCIAL/DESTOOP/2021-03-05T23:41:38.000+01:00
TRANSPOLE:StopPointRef:BP:4253:LOC;DESTOOP;L1;CTRE COMMERCIAL;2021-03-06T00:12:30+01:00;2021-03-06T00:03:59+01:00;TRANSPOLE:ItemId::441322:LOC;CTRE COMMERCIAL/DESTOOP/2021-03-06T00:12:30.000+01:00
TRANSPOLE:StopPointRef:BP:1313:LOC;ESPLANADE;L1;CTRE COMMERCIAL;2021-03-05T23:23:22+01:00;2021-03-05T23:18:14+01:00;TRANSPOLE:ItemId::440607:LOC;CTRE COMMERCIAL/ESPLANADE/2021-03-05T23:23:22.000+01:00
TRANSPOLE:StopPointRef:BP:1313:LOC;ESPLANADE;L1;CTRE COMMERCIAL;2021-03-05T23:52:17+01:00;2021-03-05T23:47:59+01:00;TRANSPOLE:ItemId::441307:LOC;CTRE COMMERCIAL/ESPLANADE/2021-03-05T23:52:17.000+01:00
TRANSPOLE:StopPointRef:BP:1313:LOC;ESPLANADE;L1;CTRE COMMERCIAL;2021-03-06T00:27:33+01:00;2021-03-05T23:21:14+01:00;TRANSPOLE:ItemId::439425:LOC;CTRE COMMERCIAL/ESPLANADE/2021-03-06T00:27:33.000+01:00
TRANSPOLE:StopPointRef:BP:6016:LOC;FACHES CIMETIERE;L7;CTRE COMMERCIAL;2021-03-05T23:44:05+01:00;2021-03-05T23:20:54+01:00;TRANSPOLE:ItemId::471840:LOC;CTRE COMMERCIAL/FACHES CIMETIERE/2021-03-05T23:44:05.000+01:00
TRANSPOLE:StopPointRef:BP:6016:LOC;FACHES CIMETIERE;L7;CTRE COMMERCIAL;2021-03-06T00:12:32+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472928:LOC;CTRE COMMERCIAL/FACHES CIMETIERE/2021-03-06T00:12:32.000+01:00
TRANSPOLE:StopPointRef:BP:6016:LOC;FACHES CIMETIERE;L7;CTRE COMMERCIAL;2021-03-06T00:42:32+01:00;2021-03-05T23:26:29+01:00;TRANSPOLE:ItemId::471876:LOC;CTRE COMMERCIAL/FACHES CIMETIERE/2021-03-06T00:42:32.000+01:00
TRANSPOLE:StopPointRef:BP:4628:LOC;FACHES EGLISE;L7;CTRE COMMERCIAL;2021-03-05T23:14:37+01:00;2021-03-05T23:06:44+01:00;TRANSPOLE:ItemId::472893:LOC;CTRE COMMERCIAL/FACHES EGLISE/2021-03-05T23:14:37.000+01:00
TRANSPOLE:StopPointRef:BP:4628:LOC;FACHES EGLISE;L7;CTRE COMMERCIAL;2021-03-05T23:45:29+01:00;2021-03-05T23:20:14+01:00;TRANSPOLE:ItemId::471841:LOC;CTRE COMMERCIAL/FACHES EGLISE/2021-03-05T23:45:29.000+01:00
