idhor;iddesserte;arriveetheorique;departtheorique;arrivee;depart;fiable;ts_maj;mnemoligne;nomligne;dest;codeparcours;ordre;mnemoarret;nomarret;numarret;coordonnees
268479438;269070853;2021-03-08T10:02:40+01:00;2021-03-08T10:02:40+01:00;2021-03-08T10:03:07+01:00;2021-03-08T10:03:07+01:00;F;2021-03-08T10:04:22+01:00;09;ESPACE ANJOU <> EVENTARD;ESPACE ANJOU;EVENTARD > ESPACE ANJOU 9.0;1060;DEBUSSY;DEBUSSY;32335;47.488272,-0.51609722
268480638;269034259;2021-03-08T10:02:42+01:00;2021-03-08T10:02:42+01:00;2021-03-08T10:02:55+01:00;2021-03-08T10:02:58+01:00;F;2021-03-08T10:04:22+01:00;09;ESPACE ANJOU <> EVENTARD;EVENTARD par MONPLAISIR;ESPACE ANJOU > EVENTARD 9.0;6109;FFAURE-E;FELIX FAURE;13088;47.485484,-0.54691285
268470051;268865589;2021-03-08T10:03:15+01:00;2021-03-08T10:03:15+01:00;2021-03-08T10:02:30+01:00;2021-03-08T10:02:30+01:00;F;2021-03-08T10:03:43+01:00;06;BOUCHEMAINE <> Z I  EST;BOUCHEMAINE CHANTOURTEAU;ZI EST > CHANTOURTEAU 9.0;19194;GAREBO-E;GARE BOUCHEMAINE;14886;47.416679,-0.61480333
268470783;268831496;2021-03-08T10:02:45+01:00;2021-03-08T10:02:45+01:00;2021-03-08T10:02:29+01:00;2021-03-08T10:02:29+01:00;F;2021-03-08T10:03:43+01:00;06;BOUCHEMAINE <> Z I  EST;ZI EST;BOUCHEMAINE>HAR>ZI EST 1.1;2658;CLOSVI-E;CLOS VIGNE;20765;47.441623,-0.61124921
268451717;268644647;2021-03-08T10:02:17+01:00;2021-03-08T10:02:17+01:00;2021-03-08T10:02:09+01:00;2021-03-08T10:02:09+01:00;F;2021-03-08T10:03:21+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;AVRILLE ADEZIERE;MURS > ADEZIERE 9.0;13995;CIOUES-E;CIMETIERE DE L'OUEST;18204;47.479343,-0.57078416
268462664;268804612;2021-03-08T10:02:24+01:00;2021-03-08T10:02:24+01:00;2021-03-08T10:02:02+01:00;2021-03-08T10:02:11+01:00;F;2021-03-08T10:03:21+01:00;05;CIRCULAIRE VERNEAU GARE EUROPE;CIRCULAIRE SENS B;5B CIRCULAIRE 1.1;792;PETIPANN;PETITES PANNES;1322;47.488734,-0.56995577
268473212;268905741;2021-03-08T10:00:46+01:00;2021-03-08T10:00:46+01:00;2021-03-08T10:01:58+01:00;2021-03-08T10:01:59+01:00;F;2021-03-08T10:03:21+01:00;07;HOPITAL <> MONTREUIL JUIGNE;MONTREUIL Allemagne;LORRAINE > ALLEMAGNE D.1;4646;GIRARD-E;GIRARD;793256;47.490604,-0.58186365
268474355;268938283;2021-03-08T09:57:11+01:00;2021-03-08T09:57:11+01:00;2021-03-08T10:01:36+01:00;2021-03-08T10:01:55+01:00;F;2021-03-08T10:03:21+01:00;07;HOPITAL <> MONTREUIL JUIGNE;LORRAINE;ALLEMAGNE > LORRAINE D.1;16889;HOTDIEU;HOTEL DIEU;4414;47.479206,-0.55935851
268480037;269070866;2021-03-08T10:01:04+01:00;2021-03-08T10:01:04+01:00;2021-03-08T10:01:49+01:00;2021-03-08T10:01:54+01:00;F;2021-03-08T10:03:21+01:00;09;ESPACE ANJOU <> EVENTARD;ESPACE ANJOU;EVENTARD > ESPACE ANJOU 9.0;6492;STAUBI-E;FOCH ST AUBIN;31700;47.468119,-0.55099029
268444207;268575010;2021-03-08T10:14:00+01:00;2021-03-08T10:15:00+01:00;2021-03-08T10:16:08+01:00;2021-03-08T10:16:31+01:00;F;2021-03-08T10:17:37+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;ST SYLVAIN GAUGUIN;TRELAZE > ST SYLVAIN 9.0;11003;LOR-FO-A;LORRAINE MAISONBLEUE;3039;47.469637,-0.54859027
268452606;268644643;2021-03-08T10:17:31+01:00;2021-03-08T10:17:31+01:00;2021-03-08T10:16:04+01:00;2021-03-08T10:16:20+01:00;F;2021-03-08T10:17:37+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;AVRILLE ADEZIERE;MURS > ADEZIERE 9.0;12695;POISSO-E;COEUR DE MAINE;16364;47.472555,-0.55680643
268482781;269131275;2021-03-08T10:14:20+01:00;2021-03-08T10:14:20+01:00;2021-03-08T10:15:49+01:00;2021-03-08T10:16:18+01:00;F;2021-03-08T10:17:37+01:00;10;ST LEZIN SORGES <> SCHWEITZER;TRELAZE SAINT LEZIN;SCHWEITZER > ST LEZIN 9.0;3480;STAUBI-E;FOCH ST AUBIN;31700;47.468119,-0.55099029
268498381;269422871;2021-03-08T10:13:20+01:00;2021-03-08T10:13:20+01:00;2021-03-08T10:15:56+01:00;2021-03-08T10:16:26+01:00;F;2021-03-08T10:17:37+01:00;A;ARDENNE <> ROSERAIE;AVRILLE ARDENNE;ARO Voie 2 -> ARD Voie 1 par HDV;10896;2ACAS;ACACIAS;12080;47.503742,-0.58626353
268501787;269455382;2021-03-08T10:15:40+01:00;2021-03-08T10:15:40+01:00;2021-03-08T10:15:55+01:00;2021-03-08T10:16:17+01:00;F;2021-03-08T10:17:37+01:00;A;ARDENNE <> ROSERAIE;ANGERS ROSERAIE;ARD Voie 1 -> ARO Voie 2 par HDV;9473;1STRA;STRASBOURG;7319;47.45665,-0.55395185
268468834;268866058;2021-03-08T10:13:38+01:00;2021-03-08T10:13:38+01:00;2021-03-08T10:15:21+01:00;2021-03-08T10:15:59+01:00;F;2021-03-08T10:17:18+01:00;06;BOUCHEMAINE <> Z I  EST;BOUCHEMAINE CENTRE;ZI EST > BOUCHEMAINE 9.0;3184;JERUSALE;JERUSALEM;23164;47.473055,-0.53017683
268481801;269096220;2021-03-08T10:13:41+01:00;2021-03-08T10:13:41+01:00;2021-03-08T10:16:00+01:00;2021-03-08T10:16:09+01:00;F;2021-03-08T10:17:18+01:00;10;ST LEZIN SORGES <> SCHWEITZER;SCHWEITZER;SORGES > SCHWEITZER 9.0;8963;PONTNOIR;PONT NOIR;14304;47.463927,-0.56277519
268488067;269164322;2021-03-08T10:13:18+01:00;2021-03-08T10:13:18+01:00;2021-03-08T10:15:34+01:00;2021-03-08T10:15:52+01:00;F;2021-03-08T10:17:18+01:00;11;LAC MAINE <> STE GEMMES CL ANJOU;L'HOIRIE LAC DE MAINE;STE GEMMES > L'HOIRIE 9.0;14224;JEAN MON;JEAN MONNET;12810;47.46559,-0.60146549
268488960;269232898;2021-03-08T10:15:35+01:00;2021-03-08T10:15:35+01:00;2021-03-08T10:15:53+01:00;2021-03-08T10:15:53+01:00;F;2021-03-08T10:17:18+01:00;12;M-MARCILLE <> ST AUBIN LA SALLE;SAINT AUBIN LA SALLE;M.MARCILLE > ST AUBIN 9.0;878;BAUDRAI;BAUDRAIRIE;19950;47.437872,-0.50713759
