identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:4109:LOC;HALLUIN GOUNOD;L4;CTRE COMMERCIAL;2021-03-08T19:30:00+01:00;2021-03-08T18:19:13+01:00;TRANSPOLE:ItemId::857954:LOC;CTRE COMMERCIAL/HALLUIN GOUNOD/2021-03-08T19:30:00.000+01:00
TRANSPOLE:StopPointRef:BP:7928:LOC;HARMONIE;66;CTRE COMMERCIAL;2021-03-08T19:01:00+01:00;2021-03-08T18:08:09+01:00;TRANSPOLE:ItemId::777073:LOC;CTRE COMMERCIAL/HARMONIE/2021-03-08T19:01:00.000+01:00
TRANSPOLE:StopPointRef:BP:7928:LOC;HARMONIE;66;CTRE COMMERCIAL;2021-03-08T19:41:07+01:00;2021-03-08T19:34:54+01:00;TRANSPOLE:ItemId::777464:LOC;CTRE COMMERCIAL/HARMONIE/2021-03-08T19:41:07.000+01:00
TRANSPOLE:StopPointRef:BP:7928:LOC;HARMONIE;66;CTRE COMMERCIAL;2021-03-08T20:50:20+01:00;2021-03-08T03:20:05+01:00;TRANSPOLE:ItemId::778122:LOC;CTRE COMMERCIAL/HARMONIE/2021-03-08T20:50:20.000+01:00
TRANSPOLE:StopPointRef:BP:1084:LOC;HARRISON;66;CTRE COMMERCIAL;2021-03-08T19:03:59+01:00;2021-03-08T18:08:09+01:00;TRANSPOLE:ItemId::777075:LOC;CTRE COMMERCIAL/HARRISON/2021-03-08T19:03:59.000+01:00
TRANSPOLE:StopPointRef:BP:1084:LOC;HARRISON;66;CTRE COMMERCIAL;2021-03-08T19:44:22+01:00;2021-03-08T19:39:23+01:00;TRANSPOLE:ItemId::777466:LOC;CTRE COMMERCIAL/HARRISON/2021-03-08T19:44:22.000+01:00
TRANSPOLE:StopPointRef:BP:1084:LOC;HARRISON;66;CTRE COMMERCIAL;2021-03-08T20:53:00+01:00;2021-03-08T03:20:05+01:00;TRANSPOLE:ItemId::778124:LOC;CTRE COMMERCIAL/HARRISON/2021-03-08T20:53:00.000+01:00
TRANSPOLE:StopPointRef:BP:274:LOC;HAUBOURDIN;CITT;CTRE COMMERCIAL;2021-03-08T18:55:31+01:00;2021-03-08T18:50:08+01:00;TRANSPOLE:ItemId::818362:LOC;CTRE COMMERCIAL/HAUBOURDIN/2021-03-08T18:55:31.000+01:00
TRANSPOLE:StopPointRef:BP:274:LOC;HAUBOURDIN;CITT;CTRE COMMERCIAL;2021-03-08T19:23:11+01:00;2021-03-08T19:06:38+01:00;TRANSPOLE:ItemId::820459:LOC;CTRE COMMERCIAL/HAUBOURDIN/2021-03-08T19:23:11.000+01:00
TRANSPOLE:StopPointRef:BP:274:LOC;HAUBOURDIN;CITT;CTRE COMMERCIAL;2021-03-08T19:41:48+01:00;2021-03-08T19:23:38+01:00;TRANSPOLE:ItemId::819401:LOC;CTRE COMMERCIAL/HAUBOURDIN/2021-03-08T19:41:48.000+01:00
TRANSPOLE:StopPointRef:BP:764:LOC;HENTGES;CITT;CTRE COMMERCIAL;2021-03-08T19:05:31+01:00;2021-03-08T18:53:08+01:00;TRANSPOLE:ItemId::818367:LOC;CTRE COMMERCIAL/HENTGES/2021-03-08T19:05:31.000+01:00
TRANSPOLE:StopPointRef:BP:764:LOC;HENTGES;CITT;CTRE COMMERCIAL;2021-03-08T19:31:27+01:00;2021-03-08T19:09:38+01:00;TRANSPOLE:ItemId::820464:LOC;CTRE COMMERCIAL/HENTGES/2021-03-08T19:31:27.000+01:00
TRANSPOLE:StopPointRef:BP:764:LOC;HENTGES;CITT;CTRE COMMERCIAL;2021-03-08T19:45:35+01:00;2021-03-08T19:39:23+01:00;TRANSPOLE:ItemId::819406:LOC;CTRE COMMERCIAL/HENTGES/2021-03-08T19:45:35.000+01:00
TRANSPOLE:StopPointRef:BP:7008:LOC;HIPPODROME;CO3;CTRE COMMERCIAL;2021-03-08T18:58:28+01:00;2021-03-08T18:52:38+01:00;TRANSPOLE:ItemId::829639:LOC;CTRE COMMERCIAL/HIPPODROME/2021-03-08T18:58:28.000+01:00
TRANSPOLE:StopPointRef:BP:7008:LOC;HIPPODROME;CO3;CTRE COMMERCIAL;2021-03-08T19:26:25+01:00;2021-03-08T19:09:53+01:00;TRANSPOLE:ItemId::829988:LOC;CTRE COMMERCIAL/HIPPODROME/2021-03-08T19:26:25.000+01:00
TRANSPOLE:StopPointRef:BP:7008:LOC;HIPPODROME;CO3;CTRE COMMERCIAL;2021-03-08T19:57:25+01:00;2021-03-08T19:38:04+01:00;TRANSPOLE:ItemId::831686:LOC;CTRE COMMERCIAL/HIPPODROME/2021-03-08T19:57:25.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-08T18:55:32+01:00;2021-03-08T18:50:53+01:00;TRANSPOLE:ItemId::873809:LOC;CTRE COMMERCIAL/HOCHE/2021-03-08T18:55:32.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-08T19:03:31+01:00;2021-03-08T17:44:39+01:00;TRANSPOLE:ItemId::871395:LOC;CTRE COMMERCIAL/HOCHE/2021-03-08T19:03:31.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-08T19:14:42+01:00;2021-03-08T19:05:23+01:00;TRANSPOLE:ItemId::871975:LOC;CTRE COMMERCIAL/HOCHE/2021-03-08T19:14:42.000+01:00
TRANSPOLE:StopPointRef:BP:3048:LOC;HOMMELET;L4;CTRE COMMERCIAL;2021-03-08T19:01:53+01:00;2021-03-08T18:52:38+01:00;TRANSPOLE:ItemId::853545:LOC;CTRE COMMERCIAL/HOMMELET/2021-03-08T19:01:53.000+01:00
TRANSPOLE:StopPointRef:BP:3048:LOC;HOMMELET;L4;CTRE COMMERCIAL;2021-03-08T19:11:14+01:00;2021-03-08T19:09:23+01:00;TRANSPOLE:ItemId::856476:LOC;CTRE COMMERCIAL/HOMMELET/2021-03-08T19:11:14.000+01:00
TRANSPOLE:StopPointRef:BP:3048:LOC;HOMMELET;L4;CTRE COMMERCIAL;2021-03-08T19:22:03+01:00;2021-03-08T19:08:53+01:00;TRANSPOLE:ItemId::857259:LOC;CTRE COMMERCIAL/HOMMELET/2021-03-08T19:22:03.000+01:00
